Servicio,Varones,Mujeres
Agronomía,221,74
"Arquitectura, Diseño y Urbanismo",344,621
Ciencias,300,326
Ingeniería,1.350,409
Química,157,356
Veterinaria,180,366
Ciencias Económicas y de Administración,1.519,1.736
Ciencias Sociales,352,950
Derecho,896,1.802
Humanidades y Ciencias de la Educación,473,982
Instituto Escuela Nacional de Bellas Artes,242,555
Escuela Universitaria de Música,31,23
Información y Comunicación,573,734
Enfermería,273,967
Medicina,668,1.575
Escuela de Parteras,79,580
Escuela Universitaria de Tecnología Médica,508,1.572
Escuela de Nutrición,183,480
Odontología,69,295
Psicología,614,1.642
Instituto Superior de Educación Física,901,519
Ciclo Inicial Optativo - Social,141,346
Ciclo Inicial Optativo - Ciencia y Tecnología,70,104
Ciclo Inicial Optativo - Salud,123,338
Ciclo en Biología - Bioquímica,2,4
