Servicio,Sexo,1,2,3,4,5
CENUR Este,Mujer, 57,86,46,7,5
CENUR Este,Varón, 35,76,52,10,8
CENUR Litoral Norte,Varón,45,63,51,16,12
CENUR Noreste,Varón,12,15,18,4,0
"Facultad de Arquitectura, Diseño y Urbanismo",Varón,81,107,129,22,22
Facultad de Agronomía,Varón,50,67,35,14,24
Facultad de Artes,Varón,34,32,49,5,13
Facultad de Ciencias Económicas y Administración,Varón,165,80,69,35,21
Facultad de Ciencias Sociales,Varón,20,70,37,15,26
Facultad de Derecho,Varón,121,72,120,28,27
Facultad de Enfermería,Varón,7,25,9,3,3
Facultad de Humanidades y Ciencias de la Educación,Varón,37,32,44,11,14
Facultad de Información y Comunicación,Varón,18,33,20,8,6
Facultad de Ingeniería,Varón,134,174,202,53,48
Facultad de Medicina,Varón,109,158,87,49,37
Facultad de Odontología,Varón,15,50,29,5,20
Facultad de Psicología,Varón,26,33,22,8,13
Facultad de Química,Varón,39,63,19,19,21
Facultad de Veterinaria,Varón,44,47,30,7,8
Instituto de Higiene,Varón,1,1,0,0,0
Facultad de Ciencias,Varón,89,86,52,32,32
Hospital de Clínicas,Varón,75,122,69,47,32
Escuela de Nutrición,Varón,4,8,8,1,0
ISEF,Varón,33,77,12,5,1
Oficinas Centrales,Varón,27,41,28,10,4
CENUR Litoral Norte,Mujer,78,111,48,12,2
CENUR Noreste,Mujer,22,25,19,4,3
"Facultad de Arquitectura, Diseño y Urbanismo",Mujer,153,98,86,22,11
Facultad de Agronomía,Mujer,68,62,48,18,15
Facultad de Artes,Mujer,45,29,31,2,6
Facultad de Ciencias Económicas y Administración,Mujer,157,77,71,21,12
Facultad de Ciencias Sociales,Mujer,41,108,55,12,18
Facultad de Derecho,Mujer,176,114,118,19,12
Facultad de Enfermería,Mujer,16,141,66,16,15
Facultad de Humanidades y Ciencias de la Educación,Mujer,65,54,57,11,13
Facultad de Información y Comunicación,Mujer,30,40,33,8,10
Facultad de Ingeniería,Mujer,79,64,72,21,11
Facultad de Medicina,Mujer,180,407,183,63,16
Facultad de Odontología,Mujer,33,143,47,8,11
Facultad de Psicología,Mujer,52,73,50,16,16
Facultad de Química,Mujer,101,97,44,23,22
Facultad de Veterinaria,Mujer,96,93,23,11,6
Instituto de Higiene,Mujer,4,3,0,0,0
Facultad de Ciencias,Mujer,103,90,59,19,6
Hospital de Clínicas,Mujer,127,159,89,41,16
Escuela de Nutrición,Mujer,17,46,30,7,9
ISEF,Mujer,52,76,16,5,0
Oficinas Centrales,Mujer,22,88,34,15,9
