Servicio,Hombres,Mujeres
Agronomía,132,61
Veterinaria,48,80
"Arquitectura, Diseño y Urbanismo",208,335
Ciencias,34,52
Ingeniería,322,77
Química,45,96
Ciencias Económicas y de Administración,584,875
Ciencias Sociales,44,159
Derecho,285,817
Humanidades y Ciencias de la Educación,36,69
Información y Comunicación,46,117
Instituto Escuela Nacional de Bellas Artes,16,50
Escuela Universitaria de Música,7,3
Enfermería,51,233
Medicina,189,389
Escuela de Parteras,1,45
Escuela Universitaria de Tecnología Médica,51,187
Odontología,33,147
Psicología,108,429
Escuela de Nutrición,17,86
Instituto Superior de Educación Física,176,138
