Servicio,Femenino,Masculino
Facultad de Agronomía,1.101,2.104
"Facultad de Arquitectura, Diseño y Urbanismo",4.770,3.024
Facultad de Ciencias Económicas y de Administración,14.933,11.289
Facultad de Derecho,12.256,5.240
Facultad de Ingeniería,2.493,8.837
Facultad de Medicina,10.120,4.377
Facultad de Odontología,1.966,467
Facultad de Química,2.524,1.072
Facultad de Veterinaria,3.231,1.711
Facultad de Humanidades y Ciencias de la Educación,4.012,1.968
Instituto Escuela Nacional de Bellas Artes,2.465,1.041
Facultad de Psicología,10.416,3.284
Facultad de Enfermería,4.485,1.129
Facultad de Ciencias Sociales,5.253,1.805
Facultad de Ciencias,1.822,1.708
Escuela de Parteras,1.780,173
Escuela Universitaria de Música,140,244
Facultad de Información y Comunicación,3.693,2.460
Escuela de Nutrición,2.634,632
Escuela Universitaria de Tecnología Médica,7.021,2.055
Instituto Superior de Educación Física,2.547,4.185
Tecnólogo Cárnico,0,0
Tecnólogo en Madera,31,29
Lic. en Biología Humana,242,99
Tecnólogo Minero,20,18
Lic. en Diseño y Comunicación Visual,1.095,540
Lic. en Diseño de Paisaje,180,94
Lic. en Ciencias de la Atmósfera,82,116
Lic. en Física Médica,53,74
Ingeniería Química,1.307,907
Ingeniería de Alimentos,707,261
Tecnólogo en Cartografía,76,72
Lic. en Estadística,390,398
CIO Social,1.265,556
CIO Tecnológico,365,292
CIO Salud,735,241
CIO Matemática,10,17
CIO Biología-Bioquímica,21,12
Ingeniería Forestal,64,85
