Servicio,Sexo,A.,B.,C.,D.,E.,F.,Q.,R.
CENUR Este,Mujer,2,1,28,2,5,9,0,0
CENUR Este,Varón,0,0,7,1,12,3,0,2
CENUR Litoral Norte,Mujer,5,2,52,3,8,11,0,1
CENUR Litoral Norte,Varón,2,1,11,5,22,5,0,4
CENUR NorEste,Mujer,4,1,15,3,3,5,0,0
CENUR NorEste,Varón,0,0,6,2,13,4,0,3
CENUR NorOeste,Mujer,0,0,0,0,0,0,0,2
CENUR NorOeste,Varón,0,0,0,1,0,0,0,1
Escuela de Nutrición,Mujer,1,1,7,3,9,9,0,0
Escuela de Nutrición,Varón,0,0,6,0,5,6,0,0
Facultad Arquitectura Diseño y Urbanismo,Mujer,11,1,55,3,12,7,1,0
Facultad Arquitectura Diseño y Urbanismo,Varón,1,0,15,5,19,7,0,0
Facultad de Agronomía,Mujer,10,1,64,21,15,23,0,0
Facultad de Agronomía,Varón,0,0,17,12,118,21,0,0
IENBA,Mujer,3,0,22,1,4,1,0,0
IENBA,Varón,0,0,4,0,0,0,0,0
Facultad de Ciencias Económicas y de Administración,Mujer,7,2,65,9,11,7,0,0
Facultad de Ciencias Económicas y de Administración,Varón,0,0,39,3,16,14,1,0
Facultad de Ciencias Sociales,Mujer,10,1,34,1,9,4,1,0
Facultad de Ciencias Sociales,Varón,1,1,16,1,10,5,0,3
Facultad de Derecho,Mujer,13,2,72,13,11,19,0,0
Facultad de Derecho,Varón,0,1,22,5,12,23,1,0
Facultad de Enfermería,Mujer,3,2,32,3,4,6,0,0
Facultad de Enfermería,Varón,0,0,12,0,9,4,0,0
Facultad de Humanidades y Cs. de la Educ,Mujer,13,5,34,2,7,9,0,0
Facultad de Humanidades y Cs. de la Educ,Varón,0,0,10,2,11,7,0,0
Facultad de Información y Comunicación,Mujer,8,0,22,3,5,5,1,0
Facultad de Información y Comunicación,Varón,1,0,12,8,12,4,0,0
Facultad de Ingeniería,Mujer,7,7,60,16,10,12,0,0
Facultad de Ingeniería,Varón,4,0,21,15,17,5,1,1
Facultad de Medicina,Mujer,20,13,113,14,17,34,0,0
Facultad de Medicina,Varón,1,1,42,7,18,35,0,1
Facultad de Odontología,Mujer,6,26,26,3,11,22,1,0
Facultad de Odontología,Varón,0,3,19,2,17,22,0,0
Facultad de Psicología,Mujer,4,1,38,5,8,9,1,0
Facultad de Psicología,Varón,1,1,14,1,9,9,0,0
Facultad de Química,Mujer,6,1,30,0,9,3,0,0
Facultad de Química,Varón,1,0,9,0,11,3,0,0
Facultad de Veterinaria,Mujer,9,3,42,21,10,21,1,0
Facultad de Veterinaria,Varón,0,2,22,11,47,18,0,1
Instituto de Higiene,Mujer,6,3,13,3,3,15,0,0
Instituto de Higiene,Varón,1,0,14,4,13,9,0,0
ISEF,Mujer,1,1,23,1,7,4,0,0
ISEF,Varón,1,0,8,1,6,3,0,0
MUSICA,Mujer,1,0,7,2,2,1,0,0
MUSICA,Varón,0,0,2,0,4,3,0,0
Facultad de Ciencias,Mujer,12,1,28,3,11,4,1,0
Facultad de Ciencias,Varón,2,1,13,1,23,2,0,2
Hospital de Clínicas,Mujer,463,132,193,649,48,446,0,5
Hospital de Clínicas,Varón,56,60,61,179,150,185,0,20
Oficinas Centrales,Mujer,97,23,203,13,61,46,0,33
Oficinas Centrales,Varón,32,10,66,10,90,41,1,73
