Servicio,Varones,Mujeres
Agronomía,208,109
"Arquitectura, Diseño y Urbanismo",298,621
Ciencias,304,390
Ingeniería,1.656,479
Química,170,367
Veterinaria,212,432
Ciencias Económicas y de Administración,1.522,1.978
Ciencias Sociales,283,708
Derecho,980,1.955
Humanidades y Ciencias de la Educación,440,976
Instituto Escuela Nacional de Bellas Artes,219,534
Información y Comunicación,520,692
Enfermería,354,1.274
Medicina,783,1.870
Escuela de Parteras,59,646
Escuela Universitaria de Tecnología Médica,517,1.779
Escuela de Nutrición,169,474
Odontología,101,305
Psicología,709,2.133
Instituto Superior de Educación Física,912,492
Ciclo Inicial Optativo - Social,152,345
Ciclo Inicial Optativo - Ciencia y Tecnología,83,100
Ciclo Inicial Optativo - Salud,176,466
Ciclo en Biología - Bioquímica,11,17
