CENUR Este,
CENUR Litoral Norte,
CENUR NorEste,
CENUR NorOeste,
Escuela de Nutrición,ESC.NUTRICION,
Facultad Arquitectura Diseño y Urbanismo,"Arquitectura, Diseño y Urbanismo",
Facultad de Agronomía,Agronomía,
Facultad de Bellas Artes,IENBA,Instituto Escuela Nacional de Bellas Artes
Facultad de Ciencias Económicas y de Administración,Ciencias Económicas y de Administración,
Facultad de Ciencias Sociales,Ciencias Sociales,
Facultad de Derecho,Derecho,
Facultad de Enfermería,Enfermería,
Facultad de Humanidades y Ciencias de la Educación,Facultad de Humanidades y Cs. de la Educ,Humanidades y Ciencias de la Educación
Facultad de Información y Comunicación,Información y Comunicación,
Facultad de Ingeniería,Ingeniería,
Facultad de Medicina,Medicina,
Facultad de Odontología,Odontología,
Facultad de Psicología,Psicología,
Facultad de Química,Química,
Facultad de Veterinaria,Veterinaria,
Instituto de Higiene,
Instituto Superior de Educación Física,ISEF,
Escuela Universitaria de Música,MUSICA,
Facultad de Ciencias,Ciencias,
Hospital de Clínicas,
Oficinas Centrales,
Rectorado,RECTORADO,
Instituto Confucio,INSTITUTO CONFUCIO
Escuela de Parteras,
Escuela Universitaria de Tecnología Médica,
Ciclo Inicial Optativo - Social,
Ciclo Inicial Optativo - Ciencia y Tecnología,
Ciclo Inicial Optativo - Salud,
Ciclo en Biología - Bioquímica,
Servicio Central de Bienestar Universitario,
